frame.time_epoch,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.flags,tcp.seq,tcp.ack,tcp.len,tcp.analysis.retransmission,tcp.analysis.fast_retransmission,tcp.analysis.duplicate_ack,tcp.analysis.ack_rtt,tcp.window_size
1762830007.048375000,10.10.216.21,443,10.10.64.28,18757,0x0010,6707,1199,6550,,,,,64384
1762830007.048535000,10.10.216.21,443,10.10.64.28,18755,0x0010,157,1201,6550,,,,,64384
1762830007.048552000,10.10.216.21,443,10.10.64.28,18755,0x0010,6707,1201,6550,,,,,64384
1762830007.048802000,10.10.216.21,443,10.10.64.28,18756,0x0010,157,1211,6550,,,,,64384
1762830007.048820000,10.10.216.21,443,10.10.64.28,18756,0x0010,6707,1211,6550,,,,,64384
1762830007.052430000,10.10.216.21,443,10.10.64.28,18754,0x0010,157,1227,6550,,,,,64384
1762830007.052462000,10.10.216.21,443,10.10.64.28,18754,0x0010,6707,1227,6550,,,,,64384
1762830007.053029000,10.10.64.28,18754,10.10.216.21,443,0x0010,1227,2777,0,,,,0.000599000,132096
1762830007.053119000,10.10.64.28,18754,10.10.216.21,443,0x0010,1227,2777,0,,,1\,1,,132096
1762830007.053129000,10.10.64.28,18754,10.10.216.21,443,0x0010,1227,2777,0,,,1\,1,,132096
1762830007.053178000,10.10.216.21,443,10.10.64.28,18754,0x0010,13257,1227,5240,,,,,64384
1762830007.053199000,10.10.216.21,443,10.10.64.28,18754,0x0010,2777,1227,1310,1,1,,,64384
1762830007.053202000,10.10.64.28,18754,10.10.216.21,443,0x0010,1227,2777,0,,,1\,1,,132096
1762830007.053210000,10.10.64.28,18754,10.10.216.21,443,0x0010,1227,2777,0,,,1\,1,,132096
1762830007.053227000,10.10.216.21,443,10.10.64.28,18754,0x0010,6707,1227,1310,1,1,,,64384
1762830007.053679000,10.10.64.28,18754,10.10.216.21,443,0x0010,1227,2777,0,,,1\,1,,132096
1762830007.053731000,10.10.64.28,18754,10.10.216.21,443,0x0010,1227,2777,0,,,1\,1,,132096
1762830007.053740000,10.10.64.28,18754,10.10.216.21,443,0x0010,1227,2777,0,,,1\,1,,132096
1762830007.053745000,10.10.64.28,18754,10.10.216.21,443,0x0010,1227,2777,0,,,1\,1,,132096
1762830007.053809000,10.10.216.21,443,10.10.64.28,18754,0x0010,11947,1227,1310,1,1,,,64384
1762830007.053832000,10.10.216.21,443,10.10.64.28,18754,0x0010,18497,1227,1310,,,,,64384
1762830007.053837000,10.10.216.21,443,10.10.64.28,18754,0x0010,19807,1227,1310,,,,,64384
1762830007.053839000,10.10.216.21,443,10.10.64.28,18754,0x0010,21117,1227,1310,,,,,64384
1762830007.053847000,10.10.64.28,18754,10.10.216.21,443,0x0010,1227,6707,0,,,,0.001417000,132096
1762830007.053857000,10.10.64.28,18754,10.10.216.21,443,0x0010,1227,11947,0,,,,0.001395000,132096
1762830007.053887000,10.10.216.21,443,10.10.64.28,18754,0x0010,22427,1227,2620,,,,,64384
1762830007.053891000,10.10.216.21,443,10.10.64.28,18754,0x0010,25047,1227,1310,,,,,64384
1762830007.054327000,10.10.64.28,18754,10.10.216.21,443,0x0010,1227,18497,0,,,,0.001149000,132096
1762830007.054389000,10.10.64.28,18754,10.10.216.21,443,0x0010,1227,21117,0,,,,0.000552000,132096
1762830007.054449000,10.10.216.21,443,10.10.64.28,18754,0x0010,26357,1227,3930,,,,,64384
1762830007.054537000,10.10.64.28,18754,10.10.216.21,443,0x0010,1227,22427,0,,,,0.000698000,132096
1762830007.054561000,10.10.64.28,18754,10.10.216.21,443,0x0010,1227,22427,0,,,1\,1,,132096
1762830007.054578000,10.10.216.21,443,10.10.64.28,18754,0x0018,30287,1227,2696,,,,,64384
1762830007.054983000,10.10.64.28,18754,10.10.216.21,443,0x0010,1227,22427,0,,,1\,1,,132096
1762830007.055032000,10.10.216.21,443,10.10.64.28,18754,0x0010,22427,1227,1310,1,1,,,64384
1762830007.055147000,10.10.64.28,18754,10.10.216.21,443,0x0010,1227,22427,0,,,1\,1,,132096
1762830007.055179000,10.10.64.28,18754,10.10.216.21,443,0x0010,1227,22427,0,,,1\,1,,132096
1762830007.055241000,10.10.216.21,443,10.10.64.28,18754,0x0010,32983,1227,1310,,,,,64384
1762830007.055575000,10.10.64.28,18754,10.10.216.21,443,0x0010,1227,31597,0,,,,0.000997000,132096
1762830007.055629000,10.10.216.21,443,10.10.64.28,18754,0x0010,31597,1227,1310,1,,,,64384
1762830007.055645000,10.10.216.21,443,10.10.64.28,18754,0x0010,34293,1227,2620,,,,,64384
1762830007.056128000,10.10.64.28,18757,10.10.216.21,443,0x0010,1199,2777,0,,,,0.007786000,132096
1762830007.056194000,10.10.64.28,18756,10.10.216.21,443,0x0010,1211,157,0,,,1\,1,,132096
1762830007.056205000,10.10.64.28,18749,10.10.216.21,443,0x0010,1938,19013,0,,,,0.012614000,132096
1762830007.056212000,10.10.64.28,18749,10.10.216.21,443,0x0010,1938,21016,0,,,,0.011357000,132096
1762830007.056218000,10.10.64.28,18754,10.10.216.21,443,0x0010,1227,32983,0,,,,0.001640000,132096
1762830007.056225000,10.10.64.28,18756,10.10.216.21,443,0x0010,1211,157,0,,,1\,1,,132096
1762830007.056230000,10.10.64.28,18749,10.10.216.21,443,0x0010,1938,27566,0,,,,0.009724000,132096
1762830007.056235000,10.10.64.28,18754,10.10.216.21,443,0x0010,1227,32983,0,,,1\,1,,132096
1762830007.056240000,10.10.64.28,18749,10.10.216.21,443,0x0010,1938,28876,0,,,,0.009734000,132096
1762830007.056245000,10.10.64.28,18757,10.10.216.21,443,0x0010,1199,10637,0,,,,0.007870000,132096
1762830007.056250000,10.10.64.28,18756,10.10.216.21,443,0x0010,1211,157,0,,,1\,1,,132096
1762830007.056255000,10.10.64.28,18756,10.10.216.21,443,0x0010,1211,157,0,,,1\,1,,132096
